"filename", "language", "JSON", "C++", "Dart", "HTML", "YAML", "Properties", "CMake", "Markdown", "Swift", "XML", "comment", "blank", "total"
"c:\programas\exa_gammer_movil\lib\ui\home\widget\datos.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\programas\exa_gammer_movil\lib\ui\home\widget\editar.dart", "Dart", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 1, 7, 152
"c:\programas\exa_gammer_movil\lib\ui\home\widget\eliminar.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\programas\exa_gammer_movil\lib\ui\home\widget\fondo_home.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\programas\exa_gammer_movil\lib\ui\home\widget\home_page.dart", "Dart", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 3, 67
"c:\programas\exa_gammer_movil\lib\ui\home\widget\listaperso.dart", "Dart", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 3, 8, 160
"c:\programas\exa_gammer_movil\lib\ui\home\widget\logo_glow.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\programas\exa_gammer_movil\lib\ui\home\widget\titulo_home.dart", "Dart", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 3, 67
"c:\programas\exa_gammer_movil\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 25, 129
"c:\programas\exa_gammer_movil\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 10, 89
"c:\programas\exa_gammer_movil\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\programas\exa_gammer_movil\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\programas\exa_gammer_movil\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\programas\exa_gammer_movil\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"c:\programas\exa_gammer_movil\linux\runner\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\programas\exa_gammer_movil\linux\runner\my_application.cc", "C++", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\programas\exa_gammer_movil\linux\runner\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\programas\exa_gammer_movil\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 4, 15
"c:\programas\exa_gammer_movil\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"c:\programas\exa_gammer_movil\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\programas\exa_gammer_movil\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\programas\exa_gammer_movil\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 1, 344
"c:\programas\exa_gammer_movil\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\programas\exa_gammer_movil\pubspec.yaml", "YAML", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 8, 63
"c:\programas\exa_gammer_movil\sonar-project.properties", "Properties", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 5, 18
"c:\programas\exa_gammer_movil\sonar-result.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\programas\exa_gammer_movil\test\clase\agregar_clase_test.dart", "Dart", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 15, 143
"c:\programas\exa_gammer_movil\test\clase\validaciones_clase.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 4, 26
"c:\programas\exa_gammer_movil\test\examen\examen_validation_test.dart", "Dart", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 14, 68
"c:\programas\exa_gammer_movil\test\examen\examen_validator.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 12, 14, 54
"c:\programas\exa_gammer_movil\test\login\login_validation_test.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"c:\programas\exa_gammer_movil\test\login\login_validators.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\programas\exa_gammer_movil\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\programas\exa_gammer_movil\web\index.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\programas\exa_gammer_movil\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\programas\exa_gammer_movil\web_entrypoint.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
